,day,Hole ID,Depth Below Surface [m],Theta
6947,2015-06-02,16,19.1643,0.3922
6948,2015-06-02,16,19.4691,0.3839
6949,2015-06-02,16,19.7739,0.3849
6950,2015-06-02,16,20.0787,0.3644
6951,2015-06-02,16,20.3835,0.367
6952,2015-06-02,16,20.6883,0.369
6953,2015-06-02,16,20.993100000000002,0.3822
6954,2015-06-02,16,21.297900000000002,0.3809
6955,2015-06-02,16,21.602700000000002,0.4173
6956,2015-06-02,16,21.907500000000002,0.4046
6957,2015-06-02,16,22.212300000000003,0.4222
6958,2015-06-02,16,22.5171,0.4121
6959,2015-06-02,16,22.8219,0.9742
6960,2015-06-03,12,0.8763000000000001,0.3782
6961,2015-06-03,12,1.1811,0.2515
6962,2015-06-03,12,1.4859000000000002,0.1918
6963,2015-06-03,12,1.7907,0.2039
6964,2015-06-03,12,2.0955000000000004,0.223
6965,2015-06-03,12,2.4003000000000005,0.2262
6966,2015-06-03,12,2.7051,0.229
6967,2015-06-03,12,3.0099,0.2325
6968,2015-06-03,12,3.3147,0.2368
6969,2015-06-03,12,3.6195000000000004,0.2103
6970,2015-06-03,12,3.9242999999999997,0.1985
6971,2015-06-03,12,4.2291,0.2008
6972,2015-06-03,12,4.5339,0.2097
6973,2015-06-03,12,4.8387,0.2693
6974,2015-06-03,12,5.1435,0.3098
6975,2015-06-03,12,5.4483,0.3057
6976,2015-06-03,12,5.7531,0.379
6977,2015-06-03,12,6.0579,0.6239
6978,2015-06-03,13,0.8763000000000001,0.211
6979,2015-06-03,13,1.1811,0.1472
6980,2015-06-03,13,1.4859000000000002,0.1524
6981,2015-06-03,13,1.7907,0.199
6982,2015-06-03,13,2.0955000000000004,0.2011
6983,2015-06-03,13,2.4003000000000005,0.2213
6984,2015-06-03,13,2.7051,0.1939
6985,2015-06-03,13,3.0099,0.2168
6986,2015-06-03,13,3.3147,0.206
6987,2015-06-03,13,3.6195000000000004,0.2057
6988,2015-06-03,13,3.9242999999999997,0.2123
6989,2015-06-03,13,4.2291,0.224
6990,2015-06-03,13,4.5339,0.217
6991,2015-06-03,13,4.8387,0.2276
6992,2015-06-03,13,5.1435,0.2283
6993,2015-06-03,13,5.4483,0.2253
6994,2015-06-03,13,5.7531,0.2171
6995,2015-06-03,13,6.0579,0.216
6996,2015-06-03,13,6.3627,0.2379
6997,2015-06-03,13,6.6675,0.2372
6998,2015-06-03,13,6.972300000000001,0.2496
6999,2015-06-03,13,7.2771,0.2484
7000,2015-06-03,13,7.5819,0.2405
7001,2015-06-03,13,7.886699999999999,0.2344
7002,2015-06-03,13,8.1915,0.2252
7003,2015-06-03,13,8.4963,0.2293
7004,2015-06-03,13,8.8011,0.2257
7005,2015-06-03,13,9.1059,0.232
7006,2015-06-03,13,9.4107,0.2376
7007,2015-06-03,13,9.7155,0.2338
7008,2015-06-03,13,10.0203,0.236
7009,2015-06-03,13,10.3251,0.2536
7010,2015-06-03,13,10.629900000000001,0.2285
7011,2015-06-03,13,10.934700000000001,0.2235
7012,2015-06-03,13,11.2395,0.2279
7013,2015-06-03,13,11.5443,0.2353
7014,2015-06-03,13,11.8491,0.2369
7015,2015-06-03,13,12.1539,0.2452
7016,2015-06-03,13,12.4587,0.2513
7017,2015-06-03,13,12.7635,0.2521
7018,2015-06-03,13,13.0683,0.2589
7019,2015-06-03,13,13.3731,0.2353
7020,2015-06-03,13,13.677900000000001,0.2508
7021,2015-06-03,13,13.982700000000001,0.2454
7022,2015-06-03,13,14.287500000000001,0.2794
7023,2015-06-03,13,14.5923,0.2526
7024,2015-06-03,13,14.8971,0.2574
7025,2015-06-03,13,15.2019,0.2622
7026,2015-06-03,13,15.5067,0.2252
7027,2015-06-03,13,15.811500000000002,0.3327
7028,2015-06-03,13,16.1163,0.3762
7029,2015-06-03,13,16.4211,0.372
7030,2015-06-03,13,16.7259,0.3709
7031,2015-06-03,13,17.0307,0.3696
7032,2015-06-03,14,0.8763000000000001,0.1552
7033,2015-06-03,14,1.1811,0.1703
7034,2015-06-03,14,1.4859000000000002,0.1407
7035,2015-06-03,14,1.7907,0.1492
7036,2015-06-03,14,2.0955000000000004,0.154
7037,2015-06-03,14,2.4003000000000005,0.2339
7038,2015-06-03,14,2.7051,0.2443
7039,2015-06-03,14,3.0099,0.2521
7040,2015-06-03,14,3.3147,0.2569
7041,2015-06-03,14,3.6195000000000004,0.2473
7042,2015-06-03,14,3.9242999999999997,0.2449
7043,2015-06-03,14,4.2291,0.2526
7044,2015-06-03,14,4.5339,0.2531
7045,2015-06-03,14,4.8387,0.2709
7046,2015-06-03,14,5.1435,0.2667
7047,2015-06-03,14,5.4483,0.2685
7048,2015-06-03,14,5.7531,0.2647
7049,2015-06-03,14,6.0579,0.2601
7050,2015-06-03,14,6.3627,0.2611
7051,2015-06-03,14,6.6675,0.2575
7052,2015-06-03,14,6.972300000000001,0.2512
7053,2015-06-03,14,7.2771,0.2433
7054,2015-06-03,14,7.5819,0.2534
7055,2015-06-03,14,7.886699999999999,0.2239
7056,2015-06-03,14,8.1915,0.2037
7057,2015-06-03,14,8.4963,0.213
7058,2015-06-03,14,8.8011,0.2149
7059,2015-06-03,14,9.1059,0.2318
7060,2015-06-03,14,9.4107,0.2206
7061,2015-06-03,14,9.7155,0.2225
7062,2015-06-03,14,10.0203,0.2209
7063,2015-06-03,14,10.3251,0.2222
7064,2015-06-03,14,10.629900000000001,0.2109
7065,2015-06-03,14,10.934700000000001,0.2156
7066,2015-06-03,14,11.2395,0.2334
7067,2015-06-03,14,11.5443,0.2249
